feature,Transmission_Centrality,Clonal_Expansion,Persistence,Spatial_Dissemination,mean_importance,type
SVD_109,0.0022623047825073,0.0030596929216824,0.0027146182076084,0.0007513992999424,0.0021970038029351,SVD_Latent
SVD_118,0.0012307420520585,0.0027131508292141,0.0040218664521221,0.0006135106573943,0.0021448174976972,SVD_Latent
SVD_49,0.0031021653034506,0.002957148189734,0.0017439091220153,0.0006593343860889,0.0021156392503222,SVD_Latent
SVD_125,0.002785255536531,0.0013221813137494,0.0034472087255434,0.0008977303184242,0.002113093973562,SVD_Latent
SVD_36,0.002254619811824,0.0026374901572235,0.0024650691378328,0.0007694098368964,0.0020316472359442,SVD_Latent
SVD_84,0.0020037849590671,0.0019873387444718,0.0018975762912428,0.0020113393858047,0.0019750098451466,SVD_Latent
SVD_108,0.0019968679588258,0.0026905576628435,0.0019709725360908,0.0010548687406033,0.0019283167245909,SVD_Latent
SVD_121,0.002264772508248,0.0024739545163864,0.0018158755277618,0.0005826485636367,0.0017843127790082,SVD_Latent
SVD_105,0.0011064905403257,0.003123399140422,0.0020555346208542,0.0007037998345208,0.0017473060340307,SVD_Latent
SVD_124,0.0011300793982693,0.0020287681590315,0.0028429731460605,0.0008869303252347,0.001722187757149,SVD_Latent
SVD_123,0.0022561135615965,0.0020648209799157,0.0018787634148149,0.0006800666141507,0.0017199411426194,SVD_Latent
SVD_120,0.0013863712257369,0.0014226031626006,0.0029039190791689,0.0010110606702614,0.001680988534442,SVD_Latent
SVD_113,0.0026181286503624,0.001491861822357,0.001538929484795,0.0006510355390172,0.0015749888741329,SVD_Latent
SVD_126,0.0016899110984904,0.0017816694658681,0.0019401571556752,0.0005466121264452,0.0014895874616197,SVD_Latent
SVD_115,0.0010910940459547,0.0016193287722493,0.0025049042174176,0.0005957879768215,0.0014527787531108,SVD_Latent
SVD_107,0.0010750791793865,0.0015151002216362,0.002294554363475,0.0008898166457071,0.0014436376025512,SVD_Latent
SVD_102,0.0013772671299138,0.0012428371758406,0.0022999140926476,0.0006939170469746,0.0014034838613442,SVD_Latent
SVD_128,0.0020440973337185,0.0016835517692652,0.0010290904588405,0.0007137226654491,0.0013676155568183,SVD_Latent
SVD_127,0.0018427004169901,0.0015719684594208,0.0016237993356725,0.0003554987992486,0.001348491752833,SVD_Latent
SVD_122,0.001013891956204,0.0012822124313464,0.0017446037276188,0.0008291230135077,0.0012174577821692,SVD_Latent
SVD_106,0.00114478113764,0.0012944067866407,0.0014743675654065,0.0008998369950898,0.0012033481211942,SVD_Latent
